code,coding_system,description,entity,list_name,upload_date
N11D.00,Read,Osteoarthritis of spine,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N11D000,Read,Osteoarthritis of cervical spine,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N11D100,Read,Osteoarthritis of thoracic spine,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N11D200,Read,Osteoarthritis of lumbar spine,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N11D300,Read,Osteoarthritis of spine NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N11z.11,Read,Osteoarthritis spine,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130A,OXMIS,OSTEOARTHRITIS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130AA,OXMIS,OSTEOARTHROSIS ANKLE,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130AB,OXMIS,OSTEOARTHROSIS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130AC,OXMIS,OSTEOARTHROSIS ACROMIO CLAVICULAR JOINT,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130AG,OXMIS,OSTEOARTHROSIS GENERAL,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130AW,OXMIS,OSTEOARTHROSIS WRIST,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130B,OXMIS,OSTEOARTHROSIS KNEE(S),diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130C,OXMIS,OSTEOARTHROSIS FINGERS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130CT,OXMIS,THUMB OSTEOARTHROSIS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130D,OXMIS,OSTEOARTHROSIS HIP,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130DA,OXMIS,OSTEOARTHRITIS HIP,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130E,OXMIS,OSTEOARTHROSIS SHOULDER,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130EA,OXMIS,STERNOCLAVICULAR JOINT OSTEOARTHROSIS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130EL,OXMIS,OSTEOARTHROSIS ELBOW,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130FT,OXMIS,OSTEOARTHROSIS FOOT,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130H,OXMIS,OSTEOARTHROSIS TOE,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130MD,OXMIS,TEMPOROMANDIBULAR OSTEOARTHROSIS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130N,OXMIS,OSTEOARTHROSIS HANDS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7130PA,OXMIS,OSTEOARTHRITIC PROTRUSION ACETABULUM,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7131A,OXMIS,OSTEOARTHROSIS NECK,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7131BR,OXMIS,SPONDYLITIS OSTEOARTHRITIC,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7131C,OXMIS,OSTEOARTHROSIS SPINE,diagnostic,267 - res26: Osteoarthritis,2015-04-20
7131DL,OXMIS,LUMBAR OSTEOARTHRITIS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
