code,coding_system,description,entity,list_name,upload_date,group
G33zz00,Read,Angina pectoris NOS,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G34..00,Read,Other chronic ischaemic heart disease,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G340.00,Read,Coronary atherosclerosis,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G340000,Read,Single coronary vessel disease,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G340100,Read,Double coronary vessel disease,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G340.11,Read,Triple vessel disease of the heart,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G340.12,Read,Coronary artery disease,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G342.00,Read,Atherosclerotic cardiovascular disease,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G343.00,Read,Ischaemic cardiomyopathy,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G344.00,Read,Silent myocardial ischaemia,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G34y.00,Read,Other specified chronic ischaemic heart disease,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G34y000,Read,Chronic coronary insufficiency,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G34y100,Read,Chronic myocardial ischaemia,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G34yz00,Read,Other specified chronic ischaemic heart disease NOS,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G34z.00,Read,Other chronic ischaemic heart disease NOS,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G34z000,Read,Asymptomatic coronary heart disease,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G35..00,Read,Subsequent myocardial infarction,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G350.00,Read,Subsequent myocardial infarction of anterior wall,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G351.00,Read,Subsequent myocardial infarction of inferior wall,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G353.00,Read,Subsequent myocardial infarction of other sites,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G35X.00,Read,Subsequent myocardial infarction of unspecified site,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G36..00,Read,Certain current complication follow acute myocardial infarct,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G360.00,Read,Haemopericardium/current comp folow acut myocard infarct,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G361.00,Read,Atrial septal defect/curr comp folow acut myocardal infarct,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G362.00,Read,Ventric septal defect/curr comp fol acut myocardal infarctn,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G363.00,Read,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G364.00,Read,Ruptur chordae tendinae/curr comp fol acute myocard infarct,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G365.00,Read,Rupture papillary muscle/curr comp fol acute myocard infarct,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G366.00,Read,Thrombosis atrium;auric append&vent/curr comp foll acute MI,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G38..00,Read,Postoperative myocardial infarction,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G380.00,Read,Postoperative transmural myocardial infarction anterior wall,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G381.00,Read,Postoperative transmural myocardial infarction inferior wall,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G384.00,Read,Postoperative subendocardial myocardial infarction,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G38z.00,Read,Postoperative myocardial infarction; unspecified,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Myocardial infarction
G3y..00,Read,Other specified ischaemic heart disease,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
G3z..00,Read,Ischaemic heart disease NOS,diagnostic,125 - Ischaemic Heart Disease,2014-02-14,Not myocardial infarction
